standard_name,units,long_name,out_name
surface_net_upward_mass_flux_of_carbon_dioxide_expressed_as_carbon_due_to_emission_from_anthropogenic_land_use_change,kg m-2 s-1,Net Carbon Mass Flux into Atmosphere Due to Land-Use Change [kgC m-2 s-1],fLuc
stem_mass_content_of_carbon,kg m-2,Carbon Mass in Wood,cWood
miscellaneous_living_matter_mass_content_of_carbon,kg m-2,Carbon Mass in Other Living Compartments on Land,cMisc
gross_primary_productivity_of_biomass_expressed_as_carbon,kg m-2 s-1,Gross Primary Production on Land-Use Tile as Carbon Mass Flux [kgC m-2 s-1],gppLut
surface_upward_mass_flux_of_carbon_dioxide_expressed_as_carbon_due_to_plant_respiration,kg m-2 s-1,Autotrophic Respiration on Land-Use Tile as Carbon Mass Flux [kgC m-2 s-1],raLut
net_primary_productivity_of_biomass_expressed_as_carbon,kg m-2 s-1,Net Primary Production on Land-Use Tile as Carbon Mass Flux [kgC m-2 s-1],nppLut
surface_upward_mass_flux_of_carbon_dioxide_expressed_as_carbon_due_to_emission_from_fires,kg m-2 s-1,"Total Carbon Loss from Natural and Managed Fire on Land-Use Tile, Including Deforestation Fires [kgC m-2 s-1]",cTotFireLut
surface_upward_mass_flux_of_carbon_dioxide_expressed_as_carbon_due_to_heterotrophic_respiration,kg m-2 s-1,Heterotrophic Respiration on Land-Use Tile as Carbon Mass Flux [kgC m-2 s-1],rhLut
surface_net_downward_mass_flux_of_carbon_dioxide_expressed_as_carbon_due_to_all_land_processes,kg m-2 s-1,Net Carbon Mass Flux into Land-Use Tile [kgC m-2 s-1],necbLut
area_fraction,%,Non-Woody Vegetation Percentage Cover,nwdFracLut
air_temperature,K,Near-Surface Air Temperature on Land Use Tile,tasLut
surface_temperature,K,Surface Temperature on Landuse Tile,tslsiLut
specific_humidity,1,Near-Surface Specific Humidity on Land-Use Tile,hussLut
surface_upward_latent_heat_flux,W m-2,Latent Heat Flux on Land-Use Tile,hflsLut
surface_upward_sensible_heat_flux,W m-2,Sensible Heat Flux on Land-Use Tile,hfssLut
surface_upwelling_shortwave_flux_in_air,W m-2,Surface Upwelling Shortwave on Land-Use Tile,rsusLut
surface_upwelling_longwave_flux_in_air,W m-2,Surface Upwelling Longwave on Land-Use Tile,rlusLut
lwe_thickness_of_surface_snow_amount,m,Snow Water Equivalent on Land-Use Tile,sweLut
leaf_area_index,1,Leaf Area Index on Land-Use Tile,laiLut
mass_content_of_water_in_soil_layer,kg m-2,Moisture in Upper Portion of Soil Column of Land-Use Tile,mrsosLut
runoff_flux,kg m-2 s-1,Total Runoff from Land-Use Tile,mrroLut
mass_content_of_water_in_soil,kg m-2,Total Soil Moisture,mrsoLut
surface_downward_mass_flux_of_water_due_to_irrigation,kg m-2 s-1,"Irrigation Flux Including any Irrigation for Crops, Trees, Pasture, or Urban Lawns",irrLut
surface_upward_heat_flux_due_to_anthropogenic_energy_consumption,W m-2,Anthropogenic Heat Flux Generated from non-Renewable Human Primary Energy Consumption,fahLut
tendency_of_atmosphere_mass_content_of_carbon_dioxide_expressed_as_carbon_due_to_emission_from_forestry_and_agricultural_products,kg m-2 s-1,Net Carbon Mass Flux from Wood and Agricultural Product Pools on Land Use Tile into Atmosphere [kgC m-2 s-1],fProductDecompLut
carbon_mass_flux_into_forestry_and_agricultural_products_due_to_anthropogenic_land_use_or_land_cover_change,kg m-2 s-1,Carbon Harvested Due to Land-Use or Land-Cover Change Process That Enters Anthropogenic Product Pools on Tile,fLulccProductLut
carbon_mass_flux_into_litter_and_soil_due_to_anthropogenic_land_use_or_land_cover_change,kg m-2 s-1,Carbon Transferred to Soil or Litter Pools Due to Land-Use or Land-Cover Change Processes on Tile,fLulccResidueLut
surface_upward_mass_flux_of_carbon_dioxide_expressed_as_carbon_due_to_anthropogenic_land_use_or_land_cover_change_excluding_forestry_and_agricultural_products,kg m-2 s-1,Carbon Transferred Directly to Atmosphere Due to any Land-Use or Land-Cover Change Activities [kgC m-2 s-1],fLulccAtmLut
area_fraction,%,Percentage of Grid Cell for Each Land-Use Tile,fracLut
precipitation_flux_containing_18O,kg m-2 s-1,Precipitation Flux of Water Containing Oxygen-18 (H2 18O),pr18O
solid_precipitation_flux_containing_18O,kg m-2 s-1,Precipitation Flux of Snow and Ice Containing Oxygen-18 (H2 18O),prsn18O
precipitation_flux_containing_single_2H,kg m-2 s-1,Precipitation Flux of Water Containing Deuterium (1H 2H O),pr2h
solid_precipitation_flux_containing_single_2H,kg m-2 s-1,Precipitation Flux of Snow and Ice Containing Deuterium (1H 2H O),prsn2h
precipitation_flux_containing_17O,kg m-2 s-1,Precipitation Flux of Water Containing Oxygen-17 (H2 17O),pr17O
solid_precipitation_flux_containing_17O,kg m-2 s-1,Precipitation Flux of Snow and Ice Containing Oxygen-17 (H2 17O),prsn17O
mass_content_of_water_vapor_containing_17O_in_atmosphere_layer,kg m-2,Mass of Water Vapor Containing Oxygen-17 (H2 17O) in Layer,prw17O
mass_content_of_water_vapor_containing_single_2H_in_atmosphere_layer,kg m-2,Mass of Water Containing Deuterium (1H 2H O) in Layer,prw2H
eastward_atmosphere_water_transport_across_unit_distance,kg m-1 s-1,Vertically Integrated Eastward Moisture Transport,intuaw
northward_atmosphere_water_transport_across_unit_distance,kg m-1 s-1,Vertically Integrated Northward Moisture Transport,intvaw
eastward_atmosphere_dry_static_energy_transport_across_unit_distance,MJ m-1 s-1,Vertically Integrated Eastward Dry Statice Energy Transport,intuadse
northward_atmosphere_dry_static_energy_transport_across_unit_distance,MJ m-1 s-1,Vertically Integrated Northward Dry Static Energy Transport,intvadse
frequency_of_lightning_flashes_per_unit_area,km-2 s-1,Lightning Flash Rate,flashrate
area_fraction,%,Total Vegetated Percentage Cover,vegFrac
area_fraction,%,Needleleaf Evergreen Tree Area Percentage,treeFracNdlEvg
area_fraction,%,Percentage Cover by C3 Crops,cropFracC3
area_fraction,%,Percentage Cover by C4 Crops,cropFracC4
mass_content_of_carbon_in_vegetation_and_litter_and_soil_and_forestry_and_agricultural_products,kg m-2,Total Carbon in All Terrestrial Carbon Pools,cLand
canopy_height,m,Height of Trees,vegHeightTree
area_fraction,%,Wetland Percentage Cover,wetlandFrac
mass_content_of_14C_in_vegetation_and_litter_and_soil_and_forestry_and_agricultural_products,kg m-2,Mass of 14C in All Terrestrial Carbon Pools,c14Land
vegetation_mass_content_of_nitrogen,kg m-2,Nitrogen Mass in Vegetation,nVeg
soil_mass_content_of_nitrogen,kg m-2,Nitrogen Mass in Soil Pool,nSoil
surface_net_upward_mass_flux_of_methane_due_to_emission_from_wetland_biological_processes,kg m-2 s-1,Grid Averaged Methane Emissions from Wetlands,wetlandCH4
gross_primary_productivity_of_biomass_expressed_as_14C,kg m-2 s-1,Carbon-14 Mass Flux out of Atmosphere Due to Gross Primary Production on Land [kgC m-2 s-1],gppc14
surface_upward_mass_flux_of_carbon_dioxide_expressed_as_14C_due_to_heterotrophic_respiration,kg m-2 s-1,Carbon-14 Mass Flux into Atmosphere Due to Heterotrophic Respiration on Land [kgC m-2 s-1],rhc14
surface_net_downward_mass_flux_of_carbon_dioxide_expressed_as_14C_due_to_all_land_processes,kg m-2 s-1,Net Mass Flux of 14C Between Atmosphere and Land (Positive into Land) as a Result of All Processes [kgC m-2 s-1],netAtmosLandC14Flux
gross_primary_productivity_of_biomass_expressed_as_13C,kg m-2 s-1,Carbon-13 Mass Flux out of Atmosphere Due to Gross Primary Production on Land [kgC m-2 s-1],gppc13
surface_upward_mass_flux_of_carbon_dioxide_expressed_as_13C_due_to_plant_respiration,kg m-2 s-1,Carbon-13 Mass Flux into Atmosphere Due to Autotrophic (Plant) Respiration on Land [kgC m-2 s-1],rac13
surface_net_downward_mass_flux_of_carbon_dioxide_expressed_as_13C_due_to_all_land_processes,kg m-2 s-1,Net Mass Flux of 13C Between Atmosphere and Land (Positive into Land) as a Result of All Processes [kgC m-2 s-1],netAtmosLandC13Flux
surface_upward_mass_flux_of_nitrogen_compounds_expressed_as_nitrogen,kg m-2 s-1,"Total Nitrogen Lost to the Atmosphere (Sum of NHx, NOx, N2O, N2)",fNgas
isotope_ratio_of_17O_to_16O_in_sea_water_excluding_solutes_and_solids,1,Isotopic Ratio of Oxygen-17 in Sea Water,sw17O
isotope_ratio_of_2H_to_1H_in_sea_water_excluding_solutes_and_solids,1,Isotopic Ratio of Deuterium in Sea Water,sw2H
mass_content_of_water_vapor_containing_18O_in_atmosphere_layer,kg m-2,Mass of Water Vapor Containing Oxygen-18 (H2 18O) in Layer,prw18O
isotope_ratio_of_18O_to_16O_in_sea_water_excluding_solutes_and_solids,1,Isotopic Ratio of Oxygen-18 in Sea Water,sw18O
surface_downward_mass_flux_of_14C_dioxide_abiotic_analogue_expressed_as_carbon,kg m-2 s-1,Surface Downward Mass Flux of Carbon-14 as 14CO2 [kgC m-2 s-1],fg14co2
sea_water_potential_temperature,degC,Vertically Averaged Sea Water Potential Temperature,thetaot
stratosphere_optical_thickness_due_to_ambient_aerosol_particles,1,Stratospheric Optical Depth at 550nm (All Aerosols) 2D-Field (Stratosphere Only),od550aerso
stratosphere_optical_thickness_due_to_sulfate_ambient_aerosol_particles,1,Stratospheric Optical Depth at 550nm (Sulphate Only) 2D-Field (Stratosphere Only),od550so4so
toa_instantaneous_shortwave_forcing,W m-2,Clear Sky Shortwave Flux Due to Dust at Toa,swtoacsdust
toa_instantaneous_shortwave_forcing,W m-2,All-Sky Shortwave Flux Due to Dust at Toa,swtoaasdust
toa_instantaneous_longwave_forcing,W m-2,TOA All-Sky Longwave Radiative Forcing Due to Dust,lwtoaasdust
toa_instantaneous_longwave_forcing,W m-2,TOA Clear-Sky Longwave Radiative Forcing Due to Aerosols,lwtoacsaer
minus_tendency_of_atmosphere_mass_content_of_dust_dry_aerosol_particles_due_to_deposition,kg m-2 s-1,Total Deposition Rate of Dust,depdust
minus_tendency_of_atmosphere_mass_content_of_insoluble_dust_dry_aerosol_particles_due_to_deposition,kg m-2 s-1,Sedimentation Flux of Dust Mode Coarse Insoluble,sedustCI
tendency_of_atmosphere_mass_content_of_dust_dry_aerosol_particles_due_to_emission,kg m-2 s-1,Wet Diameter Mode Coarse Insoluble,md
atmosphere_optical_thickness_due_to_dust_ambient_aerosol_particles,1,Optical Thickness at 443nm Dust,od443dust
atmosphere_optical_thickness_due_to_dust_ambient_aerosol_particles,1,Dust Optical Depth at 865nm,od865dust
toa_longwave_dust_ambient_aerosol_particles_direct_radiative_effect_assuming_clear_sky,W m-2,TOA Clear-Sky Longwave Radiative Forcing Due to Dust,lwtoacsdust
surface_net_downward_shortwave_dust_ambient_aerosol_particles_direct_radiative_effect_assuming_clear_sky,W m-2,Clear-Sky Surface Shortwave Radiative Flux Due to Dust,swsrfcsdust
surface_net_downward_shortwave_dust_ambient_aerosol_particles_direct_radiative_effect,W m-2,All-Sky Surface Shortwave Radiative Flux Due to Dust,swsrfasdust
surface_net_downward_longwave_dust_ambient_aerosol_particles_direct_radiative_effect_assuming_clear_sky,W m-2,Clear-Sky Surface Longwave Radiative Flux Due to Dust,lwsrfcsdust
surface_net_downward_longwave_dust_ambient_aerosol_particles_direct_radiative_effect,W m-2,All-Sky Surface Longwave Radiative Flux Due to Dust,lwsrfasdust
mass_concentration_of_dust_dry_aerosol_particles_in_air,kg m-3,Concentration of Dust,concdust
tendency_of_air_temperature_due_to_diabatic_processes,K s-1,Zonal Mean Diabatic Heating Rates,zmtnt
photolysis_rate_of_ozone,s-1,Photolysis Rate of Ozone (O3),jo3
photolysis_rate_of_molecular_oxygen,s-1,Photolysis Rate of Diatomic Molecular Oxygen,jo2
tendency_of_mole_concentration_of_ox_in_air_due_to_chemical_and_photolytic_production,mol m-3 s-1,Total Odd Oxygen (Ox) Production Rate,oxprod
tendency_of_mole_concentration_of_ox_in_air_due_to_chemical_destruction,mol m-3 s-1,Total Odd Oxygen (Ox) Loss Rate,oxloss
mole_fraction_of_ox_in_air,mol mol-1,"Mole Fraction of Odd Oxygen (O, O3 and O1D)",vmrox
northward_ocean_salt_transport,kg s-1,Northward Ocean Salt Transport,sltbasin
tendency_of_air_temperature_due_to_dissipation_of_orographic_gravity_waves,K s-1,Temperature Tendency Due to Orographic Gravity Wave Dissipation,tntogw
tendency_of_air_temperature_due_to_dissipation_of_nonorographic_gravity_waves,K s-1,Temperature Tendency Due to Non-Orographic Gravity Wave Dissipation,tntnogw
depth_below_geoid,m,Depth Below Geoid of Ocean Layer,zfullo
area_fraction,%,Tree Cover Percentage,treeFrac
area_fraction,%,Natural Grass Area Percentage,grassFrac
area_fraction,%,Percentage Cover by Shrub,shrubFrac
area_fraction,%,Percentage Crop Cover,cropFrac
area_fraction,%,Bare Soil Percentage Area Coverage,baresoilFrac
area_fraction,%,Percentage of Grid Cell That Is Land but neither Vegetation Covered nor Bare Soil,residualFrac
soil_mass_content_of_carbon,kg m-2,Carbon in Soil Pool on Land-Use Tiles,cSoilLut
vegetation_carbon_content,kg m-2,Carbon in Vegetation on Land-Use Tiles,cVegLut
litter_mass_content_of_carbon,kg m-2,Carbon  in Above and Below-Ground Litter Pools on Land-Use Tiles,cLitterLut
carbon_mass_content_of_forestry_and_agricultural_products,kg m-2,Wood and Agricultural Product Pool Carbon Associated with Land-Use Tiles,cProductLut
vegetation_carbon_content,kg m-2,Carbon Mass in Vegetation,cVeg
litter_mass_content_of_carbon,kg m-2,Carbon Mass in Litter Pool,cLitter
carbon_mass_content_of_forestry_and_agricultural_products,kg m-2,Carbon Mass in Products of Land-Use Change,cProduct
area_fraction,%,Annual Gross Percentage of Land-Use Tile That Was Transferred into Other Land-Use Tiles,fracOutLut
area_fraction,%,Annual Gross Percentage That Was Transferred into This Tile from Other Land-Use Tiles,fracInLut
upward_geothermal_heat_flux_at_ground_level_in_land_ice,W m-2,Geothermal Heat Flux Beneath Land Ice,hfgeoubed
bedrock_altitude,m,Bedrock Altitude,topg
land_ice_thickness,m,Ice Sheet Thickness,lithk
cell_area,m2,Grid-Cell Area for Ice Sheet Variables,areacellg
temperature_at_top_of_ice_sheet_model,K,Temperature at Top of Ice Sheet Model,litemptop
land_ice_basal_temperature,K,Basal Temperature of Grounded Ice Sheet,litempbotgr
land_ice_basal_temperature,K,Basal Temperature of Floating Ice Shelf,litempbotfl
land_ice_surface_specific_mass_balance_flux,kg m-2 s-1,Surface Mass Balance Flux,acabf
surface_snow_and_ice_melt_flux,kg m-2 s-1,Surface Snow and Ice Melt Flux,snicem
land_ice_surface_melt_flux,kg m-2 s-1,Surface Ice Melt Flux,icem
surface_snow_and_ice_refreezing_flux,kg m-2 s-1,Surface Snow and Ice Refreeze Flux,snicefreez
land_ice_runoff_flux,kg m-2 s-1,Land Ice Runoff Flux,mrroLi
land_ice_basal_specific_mass_balance_flux,kg m-2 s-1,Basal Specific Mass Balance Flux of Grounded Ice Sheet,libmassbfgr
land_ice_basal_specific_mass_balance_flux,kg m-2 s-1,Basal Specific Mass Balance Flux of Floating Ice Shelf,libmassbffl
land_ice_specific_mass_flux_due_to_calving,kg m-2 s-1,Land Ice Calving Flux,licalvf
land_ice_specific_mass_flux_due_to_calving_and_ice_front_melting,kg m-2 s-1,Land Ice Vertical Front Mass Balance Flux,lifmassbf
surface_snow_area_fraction,%,Snow Area Percentage,snc
cell_area,m2,The Cell Area of the Ice Sheet Model,modelCellAreai
land_ice_area_fraction,%,Land Ice Area Percentage,sftgif
land_ice_surface_x_velocity,m s-1,X-Component of Land Ice Surface Velocity,xvelsurf
land_ice_surface_y_velocity,m s-1,Y-Component of Land Ice Surface Velocity,yvelsurf
land_ice_surface_upward_velocity,m s-1,Upward Component of Land-Ice Surface Velocity,zvelsurf
land_ice_basal_x_velocity,m s-1,X-Component of Land Ice Basal Velocity,xvelbase
land_ice_basal_y_velocity,m s-1,Y-Component of Land Ice Basal Velocity,yvelbase
land_ice_basal_upward_velocity,m s-1,Upward Component of Land-Ice Basal Velocity,zvelbase
land_ice_vertical_mean_x_velocity,m s-1,X-Component of Land Ice Vertical Mean Velocity,xvelmean
land_ice_vertical_mean_y_velocity,m s-1,Y-Component of Land Ice Vertical Mean Velocity,yvelmean
land_ice_basal_drag,Pa,Land Ice Basal Drag,strbasemag
land_ice_mass,kg,Ice Sheet Mass,lim
land_ice_mass_not_displacing_sea_water,kg,Ice Sheet Mass That Does not Displace Sea Water,limnsw
grounded_ice_sheet_area,m2,Area Covered by Grounded Ice Sheet,iareagr
floating_ice_shelf_area,m2,Area Covered by Floating Ice Shelves,iareafl
tendency_of_land_ice_mass_due_to_surface_mass_balance,kg s-1,Total Surface Mass Balance Flux,tendacabf
tendency_of_land_ice_mass_due_to_basal_mass_balance,kg s-1,Total Basal Mass Balance Flux,tendlibmassbf
tendency_of_land_ice_mass_due_to_calving,kg s-1,Total Calving Flux,tendlicalvf
air_temperature,K,Ice Sheet Near-Surface Air Temperature,tasIs
surface_temperature,K,Ice Sheet Surface Temperature,tsIs
temperature_in_surface_snow,K,Ice Sheet Snow Internal Temperature,tsnIs
temperature_at_top_of_ice_sheet_model,K,Ice Sheet Temperature at Top of Ice Sheet Model,litemptopIs
land_ice_surface_specific_mass_balance_flux,kg m-2 s-1,Ice Sheet Surface Mass Balance Flux,acabfIs
snowfall_flux,kg m-2 s-1,Ice Sheet Snowfall Flux,prsnIs
rainfall_flux,kg m-2 s-1,Ice Sheet Rainfall Rate,prraIs
tendency_of_atmosphere_mass_content_of_water_vapor_due_to_sublimation_of_surface_snow_and_ice,kg m-2 s-1,Ice Sheet Surface Snow and Ice Sublimation Flux,sblIs
surface_snow_and_ice_melt_flux,kg m-2 s-1,Ice Sheet Surface Snow and Ice Melt Flux,snicemIs
surface_snow_melt_flux,kg m-2 s-1,Ice Sheet Surface Snow Melt,snmIs
land_ice_surface_melt_flux,kg m-2 s-1,Ice Sheet Surface Ice Melt Flux,icemIs
surface_snow_and_ice_refreezing_flux,kg m-2 s-1,Ice Sheet Surface Snow and Ice Refreeze Flux,snicefreezIs
runoff_flux,kg m-2 s-1,Ice Sheet Total Runoff,mrroIs
surface_snow_area_fraction,%,Ice Sheet Snow Cover Percentage,sncIs
surface_altitude,m,Ice Sheet Surface Altitude,orogIs
surface_upward_latent_heat_flux,W m-2,Ice Sheet Surface Upward Latent Heat Flux,hflsIs
surface_upward_sensible_heat_flux,W m-2,Ice Sheet Surface Upward Sensible Heat Flux,hfssIs
surface_downwelling_shortwave_flux_in_air,W m-2,Ice Sheet Surface Downwelling Shortwave Radiation,rsdsIs
surface_upwelling_shortwave_flux_in_air,W m-2,Ice Sheet Surface Upwelling Shortwave Radiation,rsusIs
surface_downwelling_longwave_flux_in_air,W m-2,Ice Sheet Surface Downwelling Longwave Radiation,rldsIs
surface_upwelling_longwave_flux_in_air,W m-2,Ice Sheet Surface Upwelling Longwave Radiation,rlusIs
mass_content_of_water_in_soil,kg m-2,Total Soil Moisture Content,mrso
soil_frozen_water_content,kg m-2,Soil Frozen Water Content,mrfso
water_evaporation_flux_from_canopy,kg m-2 s-1,Evaporation from Canopy,evspsblveg
water_evaporation_flux_from_soil,kg m-2 s-1,Water Evaporation from Soil,evspsblsoi
area_fraction,%,Percentage of Land Which Is Anthropogenic Pasture,pastureFrac
area_fraction,%,Percentage of Entire Grid Cell That Is Covered by Burnt Vegetation (All Classes),burntFractionAll
net_primary_productivity_of_biomass_expressed_as_carbon,kg m-2 s-1,Net Primary Production on Land as Carbon Mass Flux [kgC m-2 s-1],npp
surface_upward_mass_flux_of_carbon_dioxide_expressed_as_carbon_due_to_emission_from_fires_excluding_anthropogenic_land_use_change,kg m-2 s-1,Carbon Mass Flux into Atmosphere Due to CO2 Emission from Fire Excluding Land-Use Change [kgC m-2 s-1],fFire
surface_upward_mass_flux_of_carbon_dioxide_expressed_as_carbon_due_to_emission_from_grazing,kg m-2 s-1,Carbon Mass Flux into Atmosphere Due to Grazing on Land [kgC m-2 s-1],fGrazing
surface_upward_mass_flux_of_carbon_dioxide_expressed_as_carbon_due_to_emission_from_crop_harvesting,kg m-2 s-1,Carbon Mass Flux into Atmosphere Due to Crop Harvesting [kgC m-2 s-1],fHarvest
surface_net_downward_mass_flux_of_carbon_dioxide_expressed_as_carbon_due_to_all_land_processes,kg m-2 s-1,Carbon Mass Flux out of Atmosphere Due to Net Biospheric Production on Land [kgC m-2 s-1],nbp
mass_flux_of_carbon_into_litter_from_vegetation,kg m-2 s-1,Total Carbon Mass Flux from Vegetation to Litter,fVegLitter
carbon_mass_flux_into_soil_from_litter,kg m-2 s-1,Total Carbon Mass Flux from Litter to Soil,fLitterSoil
carbon_mass_flux_into_soil_from_vegetation_excluding_litter,kg m-2 s-1,Total Carbon Mass Flux from Vegetation Directly to Soil,fVegSoil
leaf_mass_content_of_carbon,kg m-2,Carbon Mass in Leaves,cLeaf
root_mass_content_of_carbon,kg m-2,Carbon Mass in Roots,cRoot
wood_debris_mass_content_of_carbon,kg m-2,Carbon Mass in Coarse Woody Debris,cCwd
surface_litter_mass_content_of_carbon,kg m-2,Carbon Mass in Above-Ground Litter,cLitterAbove
subsurface_litter_mass_content_of_carbon,kg m-2,Carbon Mass in Below-Ground Litter,cLitterBelow
fast_soil_pool_mass_content_of_carbon,kg m-2,Carbon Mass in Fast Soil Pool,cSoilFast
medium_soil_pool_mass_content_of_carbon,kg m-2,Carbon Mass in Medium Soil Pool,cSoilMedium
slow_soil_pool_mass_content_of_carbon,kg m-2,Carbon Mass in Slow Soil Pool,cSoilSlow
area_fraction,%,Percentage of Area by Vegetation or Land-Cover Category,landCoverFrac
area_fraction,%,Percentage Cover by Primary Deciduous Tree,treeFracPrimDec
area_fraction,%,Percentage Cover by Primary Evergreen Trees,treeFracPrimEver
area_fraction,%,Percentage Cover by Secondary Deciduous Trees,treeFracSecDec
area_fraction,%,Percentage Cover by Secondary Evergreen Trees,treeFracSecEver
area_fraction,%,Percentage Cover by C3 Plant Functional Type,c3PftFrac
area_fraction,%,Percentage Cover by C4 Plant Functional Type,c4PftFrac
surface_upward_mass_flux_of_carbon_dioxide_expressed_as_carbon_due_to_plant_respiration_for_biomass_growth,kg m-2 s-1,Total Autotrophic Respiration on Land as Carbon Mass Flux [kgC m-2 s-1],rGrowth
surface_upward_mass_flux_of_carbon_dioxide_expressed_as_carbon_due_to_plant_respiration_for_biomass_maintenance,kg m-2 s-1,Carbon Mass Flux into Atmosphere Due to Maintenance Autotrophic Respiration on Land [kgC m-2 s-1],rMaint
net_primary_productivity_of_biomass_expressed_as_carbon_accumulated_in_leaves,kg m-2 s-1,Net Primary Production Allocated to Leaves as Carbon Mass Flux [kgC m-2 s-1],nppLeaf
net_primary_productivity_of_biomass_expressed_as_carbon_accumulated_in_wood,kg m-2 s-1,Net Primary Production Allocated to Wood as Carbon Mass Flux [kgC m-2 s-1],nppWood
net_primary_productivity_of_biomass_expressed_as_carbon_accumulated_in_roots,kg m-2 s-1,Net Primary Production Allocated to Roots as Carbon Mass Flux [kgC m-2 s-1],nppRoot
ocean_vertical_heat_diffusivity,m2 s-1,Ocean Vertical Heat Diffusivity,difvho
ocean_vertical_salt_diffusivity,m2 s-1,Ocean Vertical Salt Diffusivity,difvso
ocean_vertical_tracer_diffusivity_due_to_background,m2 s-1,Ocean Vertical Tracer Diffusivity Due to Background,difvtrbo
ocean_vertical_tracer_diffusivity_due_to_tides,m2 s-1,Ocean Vertical Tracer Diffusivity Due to Tides,difvtrto
tendency_of_ocean_potential_energy_content,W m-2,Tendency of Ocean Potential Energy Content,tnpeo
tendency_of_ocean_potential_energy_content_due_to_tides,W m-2,Tendency of Ocean Potential Energy Content Due to Tides,tnpeot
tendency_of_ocean_potential_energy_content_due_to_background,W m-2,Tendency of Ocean Potential Energy Content Due to Background,tnpeotb
ocean_vertical_momentum_diffusivity,m2 s-1,Ocean Vertical Momentum Diffusivity,difvmo
ocean_vertical_momentum_diffusivity_due_to_background,m2 s-1,Ocean Vertical Momentum Diffusivity Due to Background,difvmbo
ocean_vertical_momentum_diffusivity_due_to_tides,m2 s-1,Ocean Vertical Momentum Diffusivity Due to Tides,difvmto
ocean_vertical_momentum_diffusivity_due_to_form_drag,m2 s-1,Ocean Vertical Momentum Diffusivity Due to Form Drag,difvmfdo
ocean_kinetic_energy_dissipation_per_unit_area_due_to_vertical_friction,W m-2,Ocean Kinetic Energy Dissipation per Unit Area Due to Vertical Friction,dispkevfo
ocean_tracer_laplacian_diffusivity_due_to_parameterized_mesoscale_eddy_advection,m2 s-1,Ocean Tracer Diffusivity Due to Parameterized Mesoscale Advection,diftrblo
ocean_tracer_biharmonic_diffusivity_due_to_parameterized_mesoscale_eddy_advection,m4 s-1,Ocean Tracer Bolus Biharmonic Diffusivity,diftrbbo
ocean_tracer_epineutral_laplacian_diffusivity,m2 s-1,Ocean Tracer Epineutral Laplacian Diffusivity,diftrelo
ocean_tracer_epineutral_biharmonic_diffusivity,m4 s-1,Ocean Tracer Epineutral Biharmonic Diffusivity,diftrebo
ocean_tracer_xy_laplacian_diffusivity,m2 s-1,Ocean Tracer XY Laplacian Diffusivity,diftrxylo
ocean_tracer_xy_biharmonic_diffusivity,m4 s-1,Ocean Tracer XY Biharmonic Diffusivity,diftrxybo
tendency_of_ocean_eddy_kinetic_energy_content_due_to_parameterized_eddy_advection,W m-2,Tendency of Ocean Eddy Kinetic Energy Content Due to Parameterized Eddy Advection,tnkebto
ocean_momentum_xy_laplacian_diffusivity,m2 s-1,Ocean Momentum XY Laplacian Diffusivity,difmxylo
ocean_momentum_xy_biharmonic_diffusivity,m4 s-1,Ocean Momentum XY Biharmonic Diffusivity,difmxybo
ocean_kinetic_energy_dissipation_per_unit_area_due_to_xy_friction,W m-2,Ocean Kinetic Energy Dissipation per Unit Area Due to XY Friction,dispkexyfo
depth_below_geoid,m,Depth Below Geoid of Interfaces Between Ocean Layers,zhalfo
square_of_sea_surface_temperature,degC2,Square of Sea Surface Temperature,tossq
mass_concentration_of_phytoplankton_expressed_as_chlorophyll_in_sea_water,kg m-3,Surface Mass Concentration of Total Phytoplankton Expressed as Chlorophyll in Sea Water,chlos
mole_concentration_of_phytoplankton_expressed_as_carbon_in_sea_water,mol m-3,Sea Surface Phytoplankton Carbon Concentration,phycos
square_of_sea_surface_salinity,1e-06,Square of Sea Surface Salinity,sossq
sea_surface_salinity,0.001,Sea Surface Salinity,sos
ocean_mixed_layer_thickness_defined_by_mixing_scheme,m,Mean Daily Maximum Ocean Mixed Layer Thickness Defined by Mixing Scheme,omldamax
sea_water_mass_per_unit_area,kg m-2,Ocean Grid-Cell Mass per Area,masscello
sea_water_conservative_temperature,degC,Sea Water Conservative Temperature,bigthetao
ocean_volume,m3,Ocean Grid-Cell Volume,volcello
ocean_meridional_overturning_mass_streamfunction,kg s-1,Ocean Meridional Overturning Mass Streamfunction,msftmrho
ocean_y_overturning_mass_streamfunction,kg s-1,Ocean Y Overturning Mass Streamfunction,msftyz
ocean_y_overturning_mass_streamfunction,kg s-1,Ocean Y Overturning Mass Streamfunction,msftyrho
sea_water_mass,kg,Sea Water Mass,masso
sea_water_volume,m3,Sea Water Volume,volo
cell_thickness,m,Ocean Model Cell Thickness,thkcello
sea_water_potential_temperature,degC,Sea Water Potential Temperature,thetao
sea_water_potential_temperature,degC,Global Average Sea Water Potential Temperature,thetaoga
sea_water_conservative_temperature,degC,Global Average Sea Water Conservative Temperature,bigthetaoga
sea_surface_temperature,degC,Global Average Sea Surface Temperature,tosga
sea_water_salinity,0.001,Sea Water Salinity,so
sea_water_salinity,0.001,Global Mean Sea Water Salinity,soga
sea_surface_salinity,0.001,Global Average Sea Surface Salinity,sosga
sea_water_age_since_surface_contact,yr,Sea Water Age Since Surface Contact,agessc
sea_water_x_velocity,m s-1,Sea Water X Velocity,uo
